Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.374124,7.374124,7.291268,7.291268,1.573410,407940
1962-01-03,7.291268,7.355003,7.291268,7.355003,1.587163,305955
1962-01-04,7.355003,7.355003,7.278521,7.281708,1.571347,274575
1962-01-05,7.272148,7.272148,7.125558,7.138305,1.540402,384405
1962-01-08,7.131931,7.131931,6.947100,7.004461,1.511519,572685
1962-01-09,7.036329,7.176546,7.036329,7.087317,1.529400,517770
1962-01-10,7.100064,7.131931,7.100064,7.100064,1.532149,313800
1962-01-11,7.119184,7.176546,7.119184,7.176546,1.548653,337335
1962-01-12,7.189293,7.240280,7.189293,7.189293,1.551405,462855
1962-01-15,7.214786,7.237094,7.214786,7.221160,1.558282,266730
1962-01-16,7.214786,7.214786,7.144678,7.144678,1.541776,266730
1962-01-17,7.112811,7.112811,7.010835,7.029955,1.517021,439320
1962-01-18,7.049076,7.119184,7.049076,7.049076,1.521147,392250
1962-01-19,7.049076,7.068196,6.972594,7.055449,1.522522,423630
1962-01-22,7.055449,7.125558,7.036329,7.042702,1.519771,290265
1962-01-23,7.039516,7.049076,6.959847,6.972594,1.504643,392250
1962-01-24,6.972594,7.010835,6.937540,7.010835,1.512895,431475
1962-01-25,7.010835,7.068196,6.921606,6.934353,1.496391,337335
1962-01-26,6.934353,6.959847,6.896112,6.899299,1.488826,258885
1962-01-29,6.899299,6.947100,6.781389,6.781389,1.463382,611910
1962-01-30,6.781389,6.819630,6.695347,6.695347,1.444814,776655
1962-01-31,6.762269,6.908859,6.762269,6.908859,1.490889,800190
1962-02-01,6.978967,7.087317,6.978967,7.068196,1.525274,674670
1962-02-02,7.068196,7.112811,7.036329,7.112811,1.534900,533460
1962-02-05,7.112811,7.112811,6.985341,7.023582,1.515646,329490
1962-02-06,7.023582,7.036329,6.998088,7.029955,1.517228,274575
1962-02-07,7.036329,7.074570,7.036329,7.036329,1.518603,266730
1962-02-08,7.036329,7.074570,7.036329,7.042702,1.519979,23535
1962-02-09,7.042702,7.093690,7.010835,7.093690,1.530983,455010
1962-02-12,7.093690,7.151052,7.087317,7.100064,1.532358,298110
1962-02-13,7.100064,7.106437,6.985341,6.985341,1.507599,274575
1962-02-14,6.985341,7.010835,6.959847,6.972594,1.504848,219660
1962-02-15,6.972594,6.972594,6.940727,6.947100,1.499345,243195
1962-02-16,6.947100,6.972594,6.940727,6.940727,1.497969,235350
1962-02-19,6.940727,6.972594,6.857871,6.870618,1.482839,298110
1962-02-20,6.873805,6.908859,6.873805,6.873805,1.483525,305955
1962-02-21,6.873805,6.921606,6.822817,6.822817,1.472522,384405
1962-02-23,6.832377,6.857871,6.832377,6.845124,1.477336,305955
1962-02-26,6.845124,6.851498,6.806883,6.819630,1.471834,313800
1962-02-27,6.819630,6.876992,6.781389,6.832377,1.474585,368715
1962-02-28,6.832377,6.845124,6.794136,6.845124,1.477336,282420
1962-03-01,6.870618,6.927980,6.870618,6.927980,1.495218,298110
1962-03-02,6.985341,7.023582,6.985341,6.985341,1.507599,258885
1962-03-05,6.985341,6.985341,6.934353,6.959847,1.502096,376560
1962-03-06,6.959847,6.991714,6.947100,6.966221,1.503472,196125
1962-03-07,6.966221,6.988528,6.947100,6.988528,1.508286,133365
1962-03-08,6.988528,7.004461,6.947100,7.004461,1.511725,196125
1962-03-09,7.010835,7.049076,7.010835,7.049076,1.521354,305955
1962-03-12,7.049076,7.068196,7.023582,7.042702,1.519979,298110
1962-03-13,7.042702,7.042702,7.010835,7.036329,1.518603,133365
1962-03-14,7.036329,7.055449,7.010835,7.023582,1.515852,211815
1962-03-15,7.023582,7.061823,7.010835,7.010835,1.513101,258885
1962-03-16,7.010835,7.042702,7.010835,7.042702,1.519979,172590
1962-03-19,7.055449,7.087317,7.055449,7.061823,1.524105,392250
1962-03-20,7.049076,7.049076,7.017208,7.017208,1.514477,172590
1962-03-21,7.017208,7.036329,6.998088,7.023582,1.515852,274575
1962-03-22,6.998088,6.998088,6.947100,6.947100,1.499345,251040
1962-03-23,6.953474,6.985341,6.953474,6.972594,1.504848,196125
1962-03-26,6.972594,6.998088,6.959847,6.969407,1.504160,141210
1962-03-27,6.953474,6.953474,6.832377,6.838751,1.475961,368715
1962-03-28,6.845124,6.896112,6.845124,6.876992,1.484214,345180
1962-03-29,6.876992,6.908859,6.857871,6.857871,1.480087,243195
1962-03-30,6.845124,6.845124,6.759082,6.790950,1.465645,462855
1962-04-02,6.787763,6.787763,6.698534,6.698534,1.445700,392250
1962-04-03,6.692161,6.692161,6.462715,6.532823,1.409934,957090
1962-04-04,6.532823,6.590185,6.504143,6.504143,1.403744,682515
1962-04-05,6.539197,6.641173,6.539197,6.641173,1.433320,957090
1962-04-06,6.641173,6.692161,6.590185,6.634799,1.431944,455010
1962-04-09,6.634799,6.673040,6.590185,6.641173,1.433320,23535
1962-04-10,6.641173,6.666667,6.602932,6.666667,1.438821,274575
1962-04-11,6.666667,6.717655,6.577438,6.577438,1.419564,556995
1962-04-12,6.577438,6.590185,6.507330,6.507330,1.404432,423630
1962-04-13,6.507330,6.602932,6.500956,6.602932,1.425065,658980
1962-04-16,6.602932,6.647546,6.526450,6.596558,1.423690,533460
1962-04-17,6.596558,6.628426,6.564691,6.628426,1.430568,313800
1962-04-18,6.628426,6.685787,6.609305,6.615679,1.427817,447165
1962-04-19,6.615679,6.641173,6.590185,6.615679,1.427817,407940
1962-04-23,6.615679,6.622052,6.583811,6.609305,1.426442,329490
1962-04-24,6.609305,6.650733,6.596558,6.602932,1.425065,478545
1962-04-25,6.602932,6.628426,6.532823,6.532823,1.409934,486390
1962-04-26,6.526450,6.526450,6.367113,6.367113,1.374171,972780
1962-04-27,6.367113,6.437221,6.118547,6.188655,1.335655,1710210
1962-04-30,6.188655,6.246017,5.736138,5.787126,1.248996,2455485
1962-05-01,5.787126,5.920969,5.481198,5.889101,1.271004,5562105
1962-05-02,5.991077,6.169535,5.991077,6.022945,1.299892,2675145
1962-05-03,6.022945,6.169535,5.978330,6.147228,1.326714,1427790
1962-05-04,6.147228,6.195029,6.086679,6.195029,1.337030,815880
1962-05-07,6.195029,6.242830,6.057999,6.057999,1.307456,870795
1962-05-08,6.050032,6.050032,5.857234,5.857234,1.264327,1082610
1962-05-09,5.857234,5.911409,5.736138,5.748885,1.240938,1678830
1962-05-10,5.748885,5.860421,5.723391,5.774379,1.246442,2000475
1962-05-11,5.774379,5.863607,5.659656,5.685150,1.227181,1984785
1962-05-14,5.685150,5.793499,5.586361,5.793499,1.250569,2855580
1962-05-15,5.793499,5.901848,5.761632,5.761632,1.243691,1765125
1962-05-16,5.761632,5.857234,5.761632,5.825366,1.257448,925710
1962-05-17,5.825366,5.825366,5.697897,5.723391,1.235435,1019850
1962-05-18,5.723391,5.755258,5.678776,5.755258,1.242314,768810
1962-05-21,5.755258,5.755258,5.685150,5.736138,1.238187,415785
1962-05-22,5.729764,5.729764,5.544933,5.544933,1.196914,1051230
1962-05-23,5.544933,5.583174,5.293180,5.293180,1.142571,3028170
1962-05-24,5.293180,5.430210,5.073295,5.073295,1.095107,4346130
1962-05-25,5.073295,5.188018,4.945825,5.079669,1.096483,4503030
1962-05-28,5.060548,5.060548,4.525175,4.601657,0.993301,4518720
1962-05-29,4.659018,4.933078,4.659018,4.882091,1.053834,4040175
1962-05-31,4.971319,5.098789,4.971319,5.003187,1.079974,4322595
1962-06-01,4.984066,4.984066,4.878904,4.907584,1.059338,2526090
1962-06-04,4.843850,4.843850,4.588910,4.588910,0.990550,1898490
1962-06-05,4.588910,4.767368,4.499681,4.641491,1.001899,3310590
1962-06-06,4.641491,4.792862,4.614404,4.659018,1.005682,3012480
1962-06-07,4.690886,4.767368,4.690886,4.716380,1.018065,1286580
1962-06-08,4.719567,4.792862,4.719567,4.732314,1.021504,1223820
1962-06-11,4.732314,4.741874,4.569790,4.576163,0.987797,1247355
1962-06-12,4.525175,4.525175,4.271829,4.271829,0.922105,3483180
1962-06-13,4.271829,4.372212,4.107712,4.112492,0.887712,4589325
1962-06-14,4.112492,4.228808,3.824092,3.900574,0.841967,6989895
1962-06-15,3.900574,4.263862,3.830465,4.251115,0.917633,6621180
1962-06-18,4.251115,4.330784,4.047164,4.203314,0.907316,4989420
1962-06-19,4.203314,4.282983,4.155513,4.282983,0.924512,2204445
1962-06-20,4.282983,4.369025,4.181007,4.181007,0.902501,3200760
1962-06-21,4.130019,4.130019,4.018483,4.024857,0.868794,3883275
1962-06-22,4.024857,4.098152,3.957935,4.079031,0.880488,3530250
1962-06-25,4.079031,4.282983,4.021670,4.238368,0.914883,3969570
1962-06-26,4.238368,4.321224,4.079031,4.079031,0.880488,3381195
1962-06-27,4.085405,4.244742,4.085405,4.244742,0.916258,3098775
1962-06-28,4.273423,4.442320,4.273423,4.384959,0.946525,4275525
1962-06-29,4.384959,4.429573,4.311663,4.324410,0.933455,2957565
1962-07-02,4.324410,4.461440,4.314850,4.461440,0.963034,1459170
1962-07-03,4.461440,4.509242,4.435946,4.480561,0.967162,2706525
1962-07-05,4.480561,4.499681,4.445507,4.461440,0.963034,2110305
1962-07-06,4.410453,4.410453,4.359465,4.397706,0.949277,1702365
1962-07-09,4.397706,4.467814,4.346718,4.464627,0.963722,1976940
1962-07-10,4.541109,4.611217,4.541109,4.572976,0.987110,3192915
1962-07-11,4.572976,4.773741,4.553856,4.772148,1.030102,3467490
1962-07-12,4.783301,4.968133,4.783301,4.831103,1.042828,3451800
1962-07-13,4.831103,4.862970,4.748247,4.796048,1.035262,2204445
1962-07-16,4.796048,4.875717,4.748247,4.875717,1.052458,1733745
1962-07-17,4.875717,4.901211,4.716380,4.717973,1.018408,1788660
1962-07-18,4.717973,4.741874,4.614404,4.655832,1.004995,2549625
1962-07-19,4.681326,4.792862,4.681326,4.684512,1.011186,2298585
1962-07-20,4.697259,4.767368,4.697259,4.741874,1.023569,713895
1962-07-23,4.741874,4.805609,4.735500,4.754621,1.026320,878640
1962-07-24,4.729127,4.729127,4.630338,4.630338,0.999493,933555
1962-07-25,4.630338,4.697259,4.572976,4.684512,1.011186,1969095
1962-07-26,4.706820,4.754621,4.706820,4.710006,1.016689,996315
1962-07-27,4.710006,4.791268,4.706820,4.791268,1.034230,996315
1962-07-30,4.821542,4.937859,4.821542,4.937859,1.065873,2981100
1962-07-31,4.937859,5.015934,4.933078,4.933078,1.064841,2902650
1962-08-01,4.920331,4.920331,4.796048,4.796048,1.035262,1278735
1962-08-02,4.799235,4.917145,4.799235,4.917145,1.061401,1561155
1962-08-03,4.917145,4.939452,4.869344,4.907584,1.059338,996315
1962-08-06,4.907584,4.926705,4.837476,4.843850,1.045580,6911445
1962-08-07,4.839069,4.839069,4.757808,4.757808,1.027209,964935
1962-08-08,4.757808,4.882091,4.722753,4.866157,1.050603,1655295
1962-08-09,4.862970,4.862970,4.781708,4.799235,1.036154,1349340
1962-08-10,4.799235,4.840663,4.781708,4.789675,1.034090,1027695
1962-08-13,4.792862,4.840663,4.792862,4.827916,1.042347,1066920
1962-08-14,4.827916,4.920331,4.819949,4.920331,1.062299,1984785
1962-08-15,4.926705,5.025494,4.926705,4.926705,1.063675,2455485
1962-08-16,4.926705,5.006373,4.917145,4.923518,1.062987,1333650
1962-08-17,4.923518,4.990440,4.920331,4.964946,1.071931,933555
1962-08-20,4.990440,5.063735,4.990440,5.019120,1.083628,1890645
1962-08-21,5.019120,5.073295,4.996813,5.006373,1.080874,1357185
1962-08-22,5.015934,5.245379,5.015934,5.213512,1.125597,3459645
1962-08-23,5.213512,5.286807,5.191205,5.232632,1.129725,3059550
1962-08-24,5.232632,5.239006,5.194391,5.213512,1.125597,1310115
1962-08-27,5.213512,5.248566,5.194391,5.200765,1.122844,957090
1962-08-28,5.197578,5.197578,5.015934,5.015934,1.082939,2879115
1962-08-29,5.015934,5.047801,4.949012,4.984066,1.076059,2635920
1962-08-30,4.984066,5.028681,4.933078,4.942639,1.067115,996315
1962-08-31,4.952199,5.070108,4.952199,5.050988,1.090507,1286580
1962-09-04,5.050988,5.117909,4.920331,4.939452,1.066427,1702365
1962-09-05,4.939452,4.996813,4.862970,4.882091,1.054043,2353500
1962-09-06,4.882091,4.956979,4.856597,4.945825,1.067803,1898490
1962-09-07,4.945825,4.982473,4.872530,4.872530,1.051979,1380720
1962-09-10,4.872530,4.929892,4.811982,4.898024,1.057483,1890645
1962-09-11,4.898024,4.942639,4.856597,4.869344,1.051291,1616070
1962-09-12,4.875717,4.926705,4.875717,4.890057,1.055762,1365030
1962-09-13,4.890057,4.926705,4.886871,4.888464,1.055419,886485
1962-09-14,4.888464,4.958572,4.882091,4.949012,1.068491,1145370
1962-09-17,4.958572,5.044614,4.958572,5.035054,1.087068,1529775
1962-09-18,5.035054,5.097196,4.990440,4.996813,1.078811,2384880
1962-09-19,4.996813,5.015934,4.923518,4.923518,1.062987,1537620
1962-09-20,4.923518,4.964946,4.872530,4.878904,1.053354,925710
